Gene	bNum	Rna_37C	Rna_10min	Rna_30min	Rna_2hr	Rna_3hr	Rna_4hr	Rna_6hr	Filter_2f	Cluster group	First ORF	ORF start	TSS	5'UTR length	Other TSS
ylbH	b0499	7.77E-07	6.92E-06	9.40E-06	5.47E-05	8.96E-05	1.25E-04	8.56E-05	YES	2	rhsD	523261	523066	195	
ybbD	b0500	0.00E+00	3.16E-06	2.31E-06	1.43E-05	2.24E-05	4.72E-05	3.13E-05	YES	2	rhsD				
rhlE	b0797	1.46E-04	1.96E-04	4.49E-04	1.34E-03	1.68E-03	1.67E-03	1.70E-03	YES	2		830872	830783	89	
cspG	b0990	7.77E-05	6.44E-04	1.39E-03	6.38E-03	1.05E-02	1.40E-02	2.82E-03	YES	2		1051461	1051305	156	
ymcE	b0991	1.22E-05	5.73E-05	9.96E-05	5.12E-04	1.29E-03	1.82E-03	2.87E-04	YES	2		1051847	1051830	17	
ycgZ	b1164	0.00E+00	3.54E-06	1.59E-05	4.00E-05	1.15E-04	2.00E-04	1.41E-04	YES	2		1215789	1215752	37	
ymgA	b1165	7.44E-06	4.73E-06	3.79E-06	2.05E-05	8.96E-05	2.11E-04	1.56E-04	YES	2	ycgZ				
ymgC	b1167	0.00E+00	1.55E-06	1.85E-06	1.18E-05	4.45E-05	1.26E-04	9.27E-05	YES	2	ycgZ				
puuR	b1299	5.98E-05	2.09E-05	3.81E-05	2.76E-04	4.28E-04	4.69E-04	3.19E-04	YES	2	puuD	1361120	1361052	68	
ynfD	b1586	3.10E-07	2.17E-06	2.31E-06	1.65E-05	1.95E-05	1.43E-05	1.25E-05	YES	2		1657565	1657414	151	
rcnA	b2106	3.57E-06	1.28E-05	1.30E-05	9.75E-05	1.59E-04	1.97E-04	7.08E-05	YES	2		2185917	2185827	90	
yfeK	b2419	0.00E+00	7.33E-06	5.08E-06	2.40E-05	2.96E-05	2.32E-05	1.50E-05	YES	2		2537342	2537315	27	
proV	b2677	4.48E-05	3.95E-05	1.27E-04	9.86E-04	1.46E-03	1.86E-03	9.90E-04	YES	2		2804815	2804563	252	284755/284599
proW	b2678	1.09E-05	2.12E-05	5.73E-05	6.08E-04	9.96E-04	1.36E-03	1.17E-03	YES	2	proV				
yqjB	b3096	8.22E-06	3.46E-05	3.40E-05	1.26E-04	2.05E-04	2.23E-04	2.29E-04	YES	2	yqjA	3247773	3247548	225	3247643
yrhB	b3446	6.04E-06	1.34E-06	1.62E-06	5.02E-06	4.59E-06	7.64E-06	1.66E-06	YES	2		3584759	3584720	39	3584734
cspA	b3556	1.01E-03	3.42E-03	4.90E-03	1.81E-02	2.66E-02	3.01E-02	8.70E-03	YES	2		3720049	3719889	160	371994
lexA	b4043	2.29E-04	4.71E-04	9.43E-04	2.71E-03	3.11E-03	2.71E-03	2.22E-03	YES	2		4257115	4257087	28	
sugE	b4148	2.67E-05	9.80E-05	2.16E-04	4.16E-04	3.38E-04	3.91E-04	3.12E-04	YES	2		4376875	4376794	81	
rnr	b4179	4.02E-04	6.49E-04	2.72E-03	1.46E-02	1.74E-02	1.81E-02	6.57E-03	YES	2	nsrR	4406190	4406044	146	
betA	b0311	3.75E-05	4.12E-05	7.11E-05	2.38E-04	3.50E-04	3.31E-04	1.95E-04	YES	2	betI	329334	329361	27	
hha	b0460	3.34E-05	6.57E-05	8.12E-05	3.93E-04	5.41E-04	7.30E-04	3.41E-04	YES	2	tomB	480708	480794	86	
sulA	b0958	7.45E-06	4.29E-05	9.54E-05	3.63E-04	5.51E-04	3.78E-04	2.16E-04	YES	2		1020919	1020947	28	
dinI	b1061	2.79E-05	3.95E-05	7.68E-05	2.66E-04	3.36E-04	2.72E-04	1.52E-04	YES	2		1121487	1121509	22	
ycfS	b1113	7.61E-06	2.52E-05	5.34E-05	2.37E-04	2.55E-04	2.56E-04	1.60E-04	YES	2		1170374	1170417	43	
chaA	b1216	4.57E-05	5.96E-05	7.07E-05	3.68E-04	4.10E-04	4.11E-04	3.31E-04	YES	2		NA	NA	NA	
bdm	b1481	0.00E+00	5.90E-07	2.17E-06	1.73E-05	4.26E-05	2.88E-05	1.85E-05	YES	2		1556280	1556340	60	
ynfN	b1551	6.17E-07	3.38E-06	3.23E-05	3.28E-04	5.42E-04	5.68E-04	2.29E-04	YES	2		1638109	1638299	190	1638197
cspI	b1552	1.92E-06	3.75E-05	1.84E-04	1.58E-03	1.71E-03	2.70E-03	1.36E-03	YES	2		1638667	1638812	145	1638712
cspB	b1557	5.54E-05	4.19E-04	1.13E-03	4.34E-03	6.15E-03	8.61E-03	3.46E-03	YES	2		1641554	1641715	161	
mdtI	b1599	1.02E-05	1.23E-05	6.05E-05	3.32E-04	3.04E-04	3.37E-04	2.46E-04	YES	2	mdtJ				
mdtJ	b1600	4.53E-05	1.34E-05	7.73E-05	3.47E-04	3.55E-04	4.39E-04	2.70E-04	YES	2		1673501	1673779	278	
ptrB	b1845	3.14E-05	2.57E-05	4.63E-05	3.42E-04	4.69E-04	3.54E-04	1.96E-04	YES	2		1928839	1928865	26	
yebG	b1848	8.83E-06	5.20E-05	9.93E-05	3.00E-04	2.86E-04	2.90E-04	1.77E-04	YES	2		1930747	1930765	18	
deaD	b3162	6.81E-04	1.59E-03	3.30E-03	9.41E-03	1.16E-02	1.59E-02	1.64E-02	YES	2		3307860	3307909	49	
fdoI	b3892	8.41E-06	3.09E-05	4.74E-05	2.42E-04	3.51E-04	4.50E-04	3.68E-04	YES	2	fdoG				
fdoG	b3894	2.21E-04	4.94E-04	9.84E-04	3.13E-03	3.85E-03	3.43E-03	2.78E-03	YES	2		4085822	4085963	141	
yaiI	b0387	1.32E-05	2.47E-05	3.75E-05	9.11E-05	1.18E-04	1.39E-04	1.64E-04	YES	3					
ybbC	b0498	1.40E-05	3.35E-06	1.13E-05	4.43E-05	6.26E-05	1.50E-04	1.20E-04	YES	3					
phoH	b1020	8.39E-06	1.50E-05	5.27E-05	4.69E-04	6.06E-04	5.03E-04	5.85E-04	YES	3					
ycfJ	b1110	2.20E-05	6.04E-05	1.11E-04	3.27E-04	4.43E-04	4.33E-04	3.89E-04	YES	3					
bhsA	b1112	2.31E-05	1.19E-05	1.68E-05	6.39E-05	1.11E-04	9.16E-05	1.24E-04	YES	3					
ariR	b1166	0.00E+00	4.93E-08	3.92E-06	1.27E-05	3.37E-05	1.33E-04	1.07E-04	YES	3					
acnA	b1276	7.46E-05	8.17E-05	1.39E-04	3.97E-04	5.80E-04	6.50E-04	1.01E-03	YES	3					
puuD	b1298	1.41E-05	1.74E-05	6.83E-05	4.88E-04	6.71E-04	6.59E-04	3.29E-04	YES	3					
puuC	b1300	3.42E-06	3.36E-06	9.03E-06	2.13E-04	3.74E-04	4.98E-04	7.06E-04	YES	3					
puuB	b1301	2.80E-06	2.97E-06	7.41E-06	9.56E-05	1.57E-04	2.67E-04	5.37E-04	YES	3					
puuE	b1302	4.51E-06	2.57E-06	5.56E-06	5.32E-05	9.12E-05	1.78E-04	3.96E-04	YES	3					
ydfK	b1544	5.89E-06	3.63E-05	7.25E-05	3.26E-04	6.09E-04	7.42E-04	7.67E-04	YES	3					
pinQ	b1545	7.76E-07	1.75E-05	1.31E-04	8.36E-04	1.25E-03	1.02E-03	5.55E-04	YES	3					
yeiG	b2154	1.69E-05	2.80E-05	3.02E-05	8.26E-05	9.89E-05	1.22E-04	1.62E-04	YES	3					
proX	b2679	7.30E-06	2.06E-05	3.36E-05	3.13E-04	6.93E-04	8.84E-04	1.29E-03	YES	3					
galP	b2943	6.59E-05	6.43E-05	8.85E-05	3.93E-04	5.69E-04	6.96E-04	8.22E-04	YES	3					
yqiK	b3051	7.77E-06	4.35E-06	1.03E-05	5.48E-05	9.43E-05	9.70E-05	1.85E-04	YES	3					
yqjK	b3100	3.69E-05	3.69E-05	3.28E-05	6.88E-05	9.14E-05	1.16E-04	2.87E-04	YES	3					
dinD	b3645	8.55E-06	2.65E-05	5.81E-05	2.05E-04	3.39E-04	3.66E-04	3.79E-04	YES	3					
yjbJ	b4045	3.34E-05	1.69E-05	2.71E-05	5.54E-05	5.22E-05	6.56E-05	1.21E-04	YES	3					
rpiB	b4090	1.49E-05	3.16E-06	5.78E-06	5.40E-05	6.62E-05	7.05E-05	4.45E-05	YES	3					
proP	b4111	2.74E-04	3.96E-04	8.81E-04	2.04E-03	2.02E-03	1.50E-03	1.70E-03	YES	3					
yjeT	b4176	2.68E-06	8.59E-06	1.87E-05	2.91E-05	2.29E-05	2.41E-05	2.23E-05	YES	3					
ytfK	b4217	6.47E-05	5.70E-05	9.76E-05	3.90E-04	4.11E-04	5.58E-04	7.64E-04	YES	3					
osmY	b4376	2.50E-05	3.09E-05	4.94E-05	6.89E-05	6.34E-05	8.61E-05	6.24E-04	YES	3					
ytjA	b4568	0.00E+00	3.08E-06	7.24E-06	9.87E-06	5.85E-06	1.65E-05	1.30E-04	YES	3					
yafQ	b0225	1.72E-05	1.37E-05	8.08E-06	1.70E-05	1.85E-05	3.32E-05	1.99E-05	YES	3					
gfcA	b0987	6.20E-07	2.29E-05	6.07E-05	1.55E-04	1.91E-04	1.59E-04	2.02E-04	YES	3					
bssS	b1060	2.76E-05	8.65E-05	2.14E-04	8.45E-04	9.97E-04	1.39E-03	2.24E-03	YES	3					
ycgX	b1161	6.67E-06	1.28E-05	1.14E-05	8.29E-05	1.77E-04	2.88E-04	2.02E-04	YES	3					
ycgE	b1162	3.34E-05	6.77E-05	1.63E-04	7.62E-04	1.16E-03	1.45E-03	1.39E-03	YES	3					
ycgF	b1163	2.08E-05	2.43E-05	1.53E-04	8.04E-04	1.16E-03	1.28E-03	8.78E-04	YES	3					
osmB	b1283	2.63E-06	4.72E-06	1.85E-05	7.44E-05	1.33E-04	1.88E-04	3.54E-04	YES	3					
puuA	b1297	2.77E-05	3.94E-05	2.44E-04	1.81E-03	2.20E-03	2.28E-03	1.17E-03	YES	3					
pinR	b1374	7.76E-07	1.67E-05	1.48E-04	8.70E-04	1.28E-03	1.02E-03	5.26E-04	YES	3					
ynaE	b1375	5.89E-06	4.01E-05	7.04E-05	3.16E-04	6.37E-04	7.53E-04	7.52E-04	YES	3					
chbB	b1738	6.20E-07	7.69E-06	1.58E-05	3.07E-05	3.89E-05	3.86E-05	6.46E-05	YES	3					
spy	b1743	2.41E-05	6.81E-06	1.34E-05	2.00E-04	3.49E-04	2.70E-04	3.10E-04	YES	3					
yebE	b1846	6.83E-06	1.76E-05	6.25E-05	3.68E-04	4.41E-04	3.57E-04	3.45E-04	YES	3					
yeiE	b2157	6.06E-06	1.88E-05	7.50E-05	2.80E-04	3.42E-04	3.25E-04	2.34E-04	YES	3					
yejG	b2181	1.04E-04	1.32E-04	2.77E-04	7.05E-04	6.90E-04	6.63E-04	5.75E-04	YES	3					
ygaC	b2671	1.55E-07	2.56E-06	6.01E-06	2.97E-05	6.33E-05	5.92E-05	6.24E-05	YES	3					
yhdL	b4550	0.00E+00	1.54E-05	1.76E-05	2.02E-05	4.26E-05	2.95E-05	3.09E-05	YES	3					
pagB	b4023	3.44E-06	1.66E-05	1.92E-05	3.93E-05	4.88E-05	8.44E-05	7.31E-05	YES	3					
yabP	b4659	0.00E+00	1.45E-05	1.29E-05	2.63E-05	3.18E-05	3.75E-05	4.61E-05	YES	NA					
thrL	b0001	8.92E-05	4.66E-05	3.10E-05	3.62E-05	6.79E-05	7.10E-05	1.73E-05	NO						
thrA	b0002	2.00E-03	1.67E-03	1.75E-03	1.00E-03	7.73E-04	5.92E-04	2.51E-04	NO						
thrB	b0003	4.31E-04	4.47E-04	6.21E-04	3.65E-04	2.87E-04	2.29E-04	1.22E-04	NO						
thrC	b0004	8.70E-04	7.73E-04	1.13E-03	6.22E-04	4.36E-04	3.34E-04	1.97E-04	NO						
yaaX	b0005	1.98E-05	1.34E-05	2.29E-05	2.14E-05	1.46E-05	1.72E-05	1.08E-05	NO						
talB	b0008	4.95E-04	4.35E-04	4.24E-04	3.48E-04	3.71E-04	3.59E-04	6.19E-04	NO						
mog	b0009	7.92E-05	1.03E-04	1.23E-04	1.16E-04	1.18E-04	1.00E-04	1.36E-04	NO						
dnaK	b0014	7.70E-03	4.84E-03	3.85E-03	1.40E-03	1.01E-03	8.65E-04	9.46E-04	NO						
dnaJ	b0015	8.23E-04	8.64E-04	8.67E-04	3.80E-04	2.72E-04	2.37E-04	2.76E-04	NO						
insL	b0016	9.78E-05	1.27E-04	1.76E-04	9.74E-05	8.26E-05	8.14E-05	7.33E-05	NO						
nhaA	b0019	7.26E-05	1.19E-04	1.84E-04	2.71E-04	2.57E-04	2.24E-04	2.07E-04	NO						
yaaY	b0024	0.00E+00	1.97E-06	4.00E-06	1.44E-05	1.81E-05	2.11E-05	2.24E-05	NO						
ribF	b0025	3.01E-04	2.62E-04	3.26E-04	4.30E-04	4.68E-04	6.13E-04	5.99E-04	NO						
ileS	b0026	1.41E-03	1.27E-03	1.46E-03	1.36E-03	1.60E-03	1.89E-03	1.81E-03	NO						
lspA	b0027	1.91E-04	1.73E-04	2.31E-04	2.23E-04	2.55E-04	3.33E-04	3.36E-04	NO						
fkpB	b0028	1.13E-04	9.27E-05	1.36E-04	1.35E-04	1.62E-04	1.77E-04	1.81E-04	NO						
ispH	b0029	1.50E-04	1.81E-04	3.09E-04	2.86E-04	2.43E-04	3.13E-04	2.75E-04	NO						
rihC	b0030	2.53E-05	1.81E-05	2.20E-05	1.71E-05	1.13E-05	1.32E-05	2.50E-05	NO						
dapB	b0031	1.42E-04	1.07E-04	1.12E-04	9.53E-05	9.03E-05	1.05E-04	9.72E-05	NO						
carA	b0032	3.23E-05	2.79E-05	2.32E-05	1.93E-05	1.66E-05	1.35E-05	1.58E-05	NO						
carB	b0033	9.61E-05	9.22E-05	1.04E-04	6.41E-05	4.84E-05	4.67E-05	4.09E-05	NO						
caiF	b0034	2.02E-06	2.76E-06	3.00E-06	7.57E-06	9.20E-06	2.84E-05	5.41E-05	NO						
fixA	b0041	0.00E+00	1.19E-06	9.26E-07	1.83E-06	2.05E-06	1.44E-06	0.00E+00	NO						
fixB	b0042	3.11E-06	1.98E-07	6.94E-07	3.87E-06	2.56E-07	1.85E-06	2.50E-06	NO						
fixC	b0043	0.00E+00	3.16E-06	6.72E-06	3.47E-06	1.02E-06	5.95E-06	2.78E-06	NO						
fixX	b0044	0.00E+00	0.00E+00	6.93E-07	2.03E-07	1.28E-06	8.19E-07	8.31E-07	NO						
yaaU	b0045	0.00E+00	3.16E-06	3.70E-06	6.22E-06	6.91E-06	7.39E-06	8.33E-06	NO						
kefF	b0046	8.07E-06	3.55E-06	3.24E-06	3.46E-06	7.67E-06	4.92E-06	4.16E-06	NO						
kefC	b0047	1.71E-05	2.25E-05	3.10E-05	2.29E-05	2.00E-05	1.53E-05	1.54E-05	NO						
folA	b0048	5.60E-05	7.18E-05	5.77E-05	1.41E-05	7.41E-06	8.90E-06	7.49E-06	NO						
djlA	b0055	9.48E-05	9.35E-05	1.24E-04	2.43E-04	2.34E-04	2.56E-04	1.94E-04	NO						
yabP	b4659	4.24E-05	4.72E-05	4.99E-05	8.16E-05	1.40E-04	1.59E-04	1.77E-04	NO						
yabP	b4659	5.81E-06	2.64E-06	0.00E+00	1.15E-06	1.20E-06	3.59E-06	1.28E-06	NO						
araC	b0064	1.85E-05	1.83E-05	1.64E-05	1.14E-05	1.71E-05	1.67E-05	1.17E-05	NO						
setA	b0070	3.79E-05	3.82E-05	4.07E-05	3.79E-05	3.79E-05	4.36E-05	3.00E-05	NO						
leuO	b0076	0.00E+00	5.34E-06	2.78E-06	7.95E-06	1.43E-05	1.44E-05	1.67E-05	NO						
ilvI	b0077	9.14E-05	6.45E-05	7.38E-05	8.14E-05	1.06E-04	1.41E-04	1.43E-04	NO						
ilvH	b0078	2.27E-05	1.81E-05	2.40E-05	1.89E-05	3.30E-05	3.79E-05	3.84E-05	NO						
fruR	b0080	1.10E-04	1.15E-04	1.30E-04	1.70E-04	1.81E-04	1.67E-04	1.53E-04	NO						
mraZ	b0081	1.61E-04	1.83E-04	1.86E-04	2.69E-04	3.46E-04	3.35E-04	2.36E-04	NO						
mraW	b0082	2.07E-04	3.09E-04	3.27E-04	4.47E-04	5.27E-04	4.97E-04	4.60E-04	NO						
ftsL	b0083	1.08E-04	1.07E-04	1.65E-04	1.82E-04	1.77E-04	1.82E-04	2.11E-04	NO						
ftsI	b0084	2.87E-04	4.24E-04	5.01E-04	5.36E-04	6.01E-04	6.32E-04	5.58E-04	NO						
murE	b0085	4.50E-04	4.02E-04	6.26E-04	5.46E-04	5.15E-04	5.10E-04	4.57E-04	NO						
murF	b0086	2.07E-04	2.78E-04	4.11E-04	3.75E-04	3.83E-04	4.37E-04	3.45E-04	NO						
mraY	b0087	1.60E-04	2.30E-04	3.58E-04	3.37E-04	3.71E-04	4.29E-04	3.41E-04	NO						
murD	b0088	2.07E-04	2.81E-04	4.83E-04	5.12E-04	4.83E-04	5.43E-04	4.37E-04	NO						
ftsW	b0089	2.08E-04	2.27E-04	4.08E-04	4.95E-04	4.28E-04	4.83E-04	3.60E-04	NO						
murG	b0090	1.43E-04	1.74E-04	2.56E-04	3.66E-04	3.71E-04	3.84E-04	2.76E-04	NO						
murC	b0091	2.37E-04	3.00E-04	4.77E-04	6.02E-04	4.31E-04	4.77E-04	3.42E-04	NO						
ddlB	b0092	1.33E-04	2.22E-04	3.53E-04	3.94E-04	3.07E-04	3.53E-04	2.63E-04	NO						
ftsQ	b0093	1.68E-04	2.13E-04	3.39E-04	3.80E-04	3.60E-04	3.27E-04	2.63E-04	NO						
ftsA	b0094	3.08E-04	4.58E-04	6.68E-04	6.84E-04	5.54E-04	5.23E-04	4.58E-04	NO						
ftsZ	b0095	6.57E-04	7.12E-04	8.47E-04	6.77E-04	4.86E-04	4.16E-04	4.67E-04	NO						
lpxC	b0096	1.07E-03	1.49E-03	2.20E-03	4.38E-03	4.17E-03	3.88E-03	2.51E-03	NO						
secM	b0097	1.21E-04	1.57E-04	1.93E-04	3.03E-04	3.70E-04	3.82E-04	1.93E-04	NO						
secA	b0098	9.26E-04	1.20E-03	1.35E-03	1.28E-03	1.55E-03	1.72E-03	1.55E-03	NO						
mutT	b0099	7.76E-06	3.24E-05	3.87E-05	2.69E-05	3.14E-05	2.86E-05	3.27E-05	NO						
guaC	b0104	1.57E-04	1.54E-04	2.27E-04	2.30E-04	1.93E-04	1.64E-04	2.67E-04	NO						
ampD	b0110	1.60E-05	2.14E-05	4.21E-05	1.04E-04	1.47E-04	1.48E-04	1.30E-04	NO						
ampE	b0111	1.06E-05	2.23E-05	5.53E-05	1.61E-04	1.78E-04	1.96E-04	1.76E-04	NO						
pdhR	b0113	1.82E-04	4.19E-04	4.22E-04	1.32E-03	1.27E-03	4.90E-04	1.78E-04	NO						
aceE	b0114	9.49E-03	9.85E-03	9.20E-03	8.06E-03	8.96E-03	6.79E-03	3.20E-03	NO						
aceF	b0115	6.07E-03	6.52E-03	7.09E-03	5.41E-03	5.61E-03	4.62E-03	2.73E-03	NO						
lpd	b0116	3.51E-03	3.68E-03	3.60E-03	2.49E-03	2.57E-03	2.49E-03	2.44E-03	NO						
acnB	b0118	1.52E-03	1.40E-03	1.54E-03	2.46E-03	3.14E-03	3.22E-03	4.94E-03	NO						
yacL	b0119	8.30E-05	5.21E-05	7.05E-05	9.57E-05	8.10E-05	7.13E-05	8.79E-05	NO						
cueO	b0123	5.49E-05	7.12E-05	8.44E-05	8.73E-05	8.22E-05	4.89E-05	8.00E-05	NO						
hpt	b0125	2.37E-04	1.96E-04	2.09E-04	2.35E-04	2.14E-04	2.41E-04	2.51E-04	NO						
yadG	b0127	7.04E-05	6.60E-05	1.14E-04	1.85E-04	2.17E-04	2.30E-04	3.05E-04	NO						
yadH	b0128	4.19E-05	4.78E-05	7.07E-05	1.22E-04	1.59E-04	1.71E-04	2.26E-04	NO						
yadI	b0129	1.18E-05	1.08E-05	2.32E-05	5.97E-05	8.72E-05	7.38E-05	8.01E-05	NO						
yadE	b0130	1.26E-05	3.82E-05	4.53E-05	1.16E-04	1.37E-04	1.60E-04	1.14E-04	NO						
yadD	b0132	1.49E-05	1.93E-05	3.31E-05	5.30E-05	3.53E-05	6.09E-05	5.25E-05	NO						
hrpB	b0148	1.03E-04	1.14E-04	1.51E-04	1.87E-04	2.23E-04	2.17E-04	1.50E-04	NO						
mrcB	b0149	1.90E-04	2.21E-04	2.89E-04	2.42E-04	2.44E-04	2.55E-04	2.58E-04	NO						
fhuA	b0150	1.29E-04	1.55E-04	2.16E-04	3.08E-04	4.31E-04	5.13E-04	3.81E-04	NO						
fhuC	b0151	1.69E-05	2.31E-05	4.52E-05	8.69E-05	8.39E-05	9.94E-05	8.79E-05	NO						
fhuD	b0152	1.23E-05	1.74E-05	2.82E-05	6.76E-05	7.63E-05	8.16E-05	7.05E-05	NO						
fhuB	b0153	2.64E-06	3.34E-05	7.76E-05	1.26E-04	1.45E-04	1.70E-04	1.49E-04	NO						
clcA	b0155	7.35E-05	6.38E-05	8.31E-05	1.48E-04	1.78E-04	1.66E-04	1.85E-04	NO						
erpA	b0156	3.01E-04	1.99E-04	2.01E-04	1.65E-04	1.68E-04	1.84E-04	1.94E-04	NO						
dgt	b0160	1.57E-05	4.28E-05	6.26E-05	1.58E-04	1.76E-04	1.73E-04	1.25E-04	NO						
cdaR	b0162	1.32E-05	8.96E-06	5.57E-05	8.70E-04	7.92E-04	6.58E-04	3.12E-04	NO						
rpsB	b0169	4.91E-03	5.42E-03	4.57E-03	3.63E-03	2.31E-03	2.21E-03	2.69E-03	NO						
tsf	b0170	4.59E-03	4.25E-03	3.82E-03	2.47E-03	1.36E-03	1.12E-03	1.42E-03	NO						
pyrH	b0171	4.42E-04	3.82E-04	4.88E-04	3.99E-04	4.14E-04	3.22E-04	4.21E-04	NO						
frr	b0172	7.94E-04	6.82E-04	6.43E-04	5.13E-04	4.33E-04	4.89E-04	7.43E-04	NO						
dxr	b0173	1.21E-04	1.40E-04	1.58E-04	2.02E-04	2.35E-04	2.44E-04	2.71E-04	NO						
ispU	b0174	2.24E-04	3.05E-04	4.35E-04	6.33E-04	6.34E-04	9.16E-04	1.40E-03	NO						
cdsA	b0175	1.36E-04	2.57E-04	3.91E-04	5.51E-04	6.48E-04	8.65E-04	1.30E-03	NO						
rseP	b0176	3.23E-04	4.45E-04	6.81E-04	1.10E-03	1.28E-03	1.45E-03	1.85E-03	NO						
bamA	b0177	1.38E-03	1.35E-03	1.65E-03	1.98E-03	2.17E-03	2.58E-03	3.35E-03	NO						
skp	b0178	8.31E-04	6.85E-04	6.72E-04	6.21E-04	6.49E-04	6.40E-04	1.08E-03	NO						
lpxD	b0179	9.43E-04	9.34E-04	9.62E-04	7.78E-04	7.11E-04	7.53E-04	8.86E-04	NO						
fabZ	b0180	4.07E-04	4.70E-04	4.91E-04	4.13E-04	3.37E-04	3.14E-04	4.76E-04	NO						
lpxA	b0181	5.90E-04	7.24E-04	6.95E-04	5.82E-04	4.40E-04	4.48E-04	6.79E-04	NO						
