TU_ID	Gene_name	Left	Right	Strand	Expression_EP	Description
126	rrsH-ileV-alaV-rrlH-rrfH	223485	228874	+	25252.946264706352	rrsH-ileV-alaV-rrlH-rrfH
127	rrsH-ileV-alaV-rrlH-rrfH	223593	228874	+	25769.153776736915	rrsH-ileV-alaV-rrlH-rrfH
128	dkgB	229098	229969	+	1.1414037489944784	dkgB
129	yafDE	231064	232548	+	1.8003913626035322	yafDE
130	dnaQ	235934	236797	+	1.9960975763954298	dnaQ
131	dnaQ	236017	236797	+	2.1309691489341738	dnaQ
132	rnhA	235535	236040	-	2.4716628372451392	rnhA
133	aspV	236913	237066	+	1.3417330787660438	aspV
134	yafV	239419	240215	-	1.396418989597283	yafV
135	fadE	240859	243405	-	0.24037117303797126	fadE
136	dinJ-yafQ	245961	246614	-	4.144488659727098	dinJ-yafQ
137	dinB-yafNOP	250880	253160	+	0.48488323568675007	dinB-yafNOP
138	yafNOP	251969	253160	+	0.5123130882351777	yafNOP
139	pepD	254259	255736	-	22.13229349326833	pepD
140	pepD	254259	255775	-	21.57173343452722	pepD
141	pepD	254259	255808	-	21.112760382728773	pepD
142	gpt	255914	256473	+	5.0621506785827	gpt
143	frsA	256502	257770	+	1.9804260997362135	frsA
144	crl_1	257810	257906	+	5.083459885025429	crl_1
145	crl_1	257824	257906	+	5.715558706805946	crl_1
146	phoE	258269	259381	-	180.8511324876199	phoE
147	thrW	262065	262169	+	6.525888612617936	thrW
148	ykfBF-yafX-ykfGH-yafW-ykfI	262552	265381	-	1.020414446288919	ykfBF-yafX-ykfGH-yafW-ykfI
149	ykfBF-yafX-ykfGH-yafW-ykfI	262552	265450	-	0.9983378324896798	ykfBF-yafX-ykfGH-yafW-ykfI
150	yafZ	266408	267249	-	0.2742198873925044	yafZ
151	insN-1I-1O-1	269450	271478	+	1.452125311563276	insN-1I-1O-1
152	mhpT	374610	375893	+	0.0931294567126321	mhpT
153	tauABCD	384429	387869	+	0.07801294681481022	tauABCD
154	hemB	387977	388977	-	10.345153290448359	hemB
155	ampH	394354	395542	-	0.8732066223046493	ampH
156	ampH	394354	395586	-	0.8420712159988107	ampH
157	sbmA-yaiW	395777	398189	+	1.0638033980023038	sbmA-yaiW
158	yaiZ	398678	399028	+	0.8132748302567941	yaiZ
159	iraP	400543	400869	+	5.910930939409403	iraP
160	iraP	400587	400869	+	6.8267089722756475	iraP
161	phoA-psiF	400931	402824	+	67.0010880512033	phoA-psiF
162	dgcC	402911	404041	+	0.29783699093097143	dgcC
163	proC	404010	404909	-	2.106207101953077	proC
164	aroL-yaiA-aroM	405504	407328	+	2.796201096002926	aroL-yaiA-aroM
165	aroL-yaiA-aroM	405579	407328	+	2.905550177403993	aroL-yaiA-aroM
166	ppnP	407372	407684	+	9.996016113587828	ppnP
167	ykiA	407798	408173	+	0.8610138902345223	ykiA
168	araJ	410521	411752	-	0.27728809841636465	araJ
169	sbcDC	411831	416200	-	0.874739149332219	sbcDC
170	phoBR	416325	418407	+	12.434107944401172	phoBR
171	brnQ-proY	418712	421582	+	1.0040241539387285	brnQ-proY
172	malZ	421719	423731	+	0.6263406558310466	malZ
173	malZ	421719	423776	+	0.6154895294492734	malZ
174	queA	424209	425304	+	2.954096878120245	queA
175	tgt-yajC	425279	427009	+	16.838960611887803	tgt-yajC
176	yajC-secDF	426429	429699	+	19.108646565695462	yajC-secDF
177	tsx	430320	431314	-	54.65878013857875	tsx
178	tsx	430320	431468	-	47.371136871882165	tsx
179	nrdR-ribDE-nusB-thiL-pgpA	432201	436330	+	3.667923803510836	nrdR-ribDE-nusB-thiL-pgpA
180	ribE-nusB-thiL-pgpA	433728	436330	+	4.282364545919904	ribE-nusB-thiL-pgpA
181	xseB-ispA-dxs-yajO	436385	440596	-	4.181138598537538	xseB-ispA-dxs-yajO
182	thiI	440692	442220	+	4.144704639927359	thiI
183	yajQ	443882	444397	+	23.806341841029422	yajQ
184	yajR	444526	445910	-	0.8529809221793662	yajR
185	cyoABCDE	446039	450876	-	59.32087888494048	cyoABCDE
186	yajG	452781	453433	-	17.085254008332754	yajG
187	yajG-ampG	451294	453433	-	6.910015226853091	yajG-ampG
188	bolA	453573	454088	+	8.938773848406207	bolA
189	bolA	453658	454088	+	10.67011031420185	bolA
190	tig	454217	455654	+	121.02959155235492	tig
191	tig	454346	455654	+	130.3962238692727	tig
192	clpPX	455801	457978	+	17.054742776071127	clpPX
193	clpPX	455829	457978	+	17.268093359002496	clpPX
194	clpPX	455870	457978	+	17.56914104380003	clpPX
195	clpX-lon	456426	460465	+	15.058338956789337	clpX-lon
196	lon	458039	460465	+	14.678599813008598	lon
197	hupB	460529	460965	+	87.99413797912761	hupB
198	hupB	460529	461001	+	81.38614589260688	hupB
199	hupB	460556	460965	+	93.77477478067613	hupB
200	hupB	460556	461001	+	86.30208759081802	hupB
201	hupB	460619	460965	+	110.70037686975502	hupB
202	hupB	460619	461001	+	100.41492674195969	hupB
203	hupB	460666	460965	+	124.66765513331059	hupB
204	hupB	460666	461001	+	111.45568223550227	hupB
205	ppiD	461043	463009	+	13.948779739512512	ppiD
206	ppiD	461062	463009	+	13.954160965171598	ppiD
207	fadM	463584	464023	+	0.6027850954259408	fadM
208	decR	467576	468064	+	1.533691738429727	decR
209	glnK-amtB	471780	473524	+	0.24510534407805284	glnK-amtB
210	tesB	473525	474424	-	0.6090602538671718	tesB
211	ylaC	478005	478511	-	6.764910855541267	ylaC
212	tomB-hha	479314	480017	-	8.000048249322164	tomB-hha
213	acrB	480478	483908	-	11.327423305941402	acrB
214	acrAB	480478	484921	-	11.882935001177698	acrAB
215	acrR	484923	485631	+	2.4755522222553235	acrR
216	mscK	485716	489121	+	1.353068294269102	mscK
217	apt	490534	491186	+	6.7591623258457005	apt
218	dnaX	491280	493246	+	1.5875701301293994	dnaX
219	ybaB-recR	492933	494233	+	10.895919246280798	ybaB-recR
220	htpG	494041	496217	+	22.923857936068995	htpG
221	htpG	494299	496252	+	24.894691213298117	htpG
222	htpG	494308	496252	+	25.009825961972165	htpG
223	adk	496363	497042	+	33.97383890561866	adk
224	hemH	497255	498240	+	1.178004517652831	hemH
225	aes	498169	499274	-	0.3104554214450249	aes
226	ybaL	500786	502518	-	2.387428521115572	ybaL
227	chiX	506428	506510	+	0.5885145022897986	chiX
228	ybaQ	507415	507782	+	4.994466332950865	ybaQ
229	copA	508099	510634	-	0.6461037438764272	copA
230	glsA-ybaT	510797	513091	+	0.1558004342669386	glsA-ybaT
231	qmcA-ybbJ	513625	515046	-	1.052515527451721	qmcA-ybbJ
232	fetAB	515127	516585	+	1.6425047186566115	fetAB
233	ybbN	516649	517713	-	4.553038459932835	ybbN
234	tesA-ybbO	517564	519172	-	1.610668536148503	tesA-ybbO
235	allS	530519	531523	-	0.0234037221426061	allS
236	allA	531614	532156	+	0.32332589446178744	allA
237	gcl-hyi-glxR-ybbW-allB-ybbY-glxK	533131	542256	+	0.04841292543123388	gcl-hyi-glxR-ybbW-allB-ybbY-glxK
238	ybbY-glxK	539583	542256	+	0.06586310282947695	ybbY-glxK
239	allDCE	542485	545634	-	0.28214988612998826	allDCE
240	purEK	550750	552364	-	0.6585799801386761	purEK
241	cysS	553800	555218	+	4.3543722598943875	cysS
242	folD-ybcJ	555884	557003	-	3.9224598731311695	folD-ybcJ
243	argU	563926	564021	+	1.0080754991449037	argU
244	nmpC	574981	576092	-	53.95976985074655	nmpC
245	essD-rrrD-rzpD	576096	577790	+	0.5623479233893248	essD-rrrD-rzpD
246	borD	577823	578143	-	9.056924353649572	borD
247	appY	582790	583652	+	0.05552922690631477	appY
248	appY	582879	583652	+	0.0619061316736206	appY
249	ompT	583903	584887	-	124.19896844296242	ompT
250	cusRS	592551	594684	-	0.4020540883989048	cusRS
251	cusCFBA	594796	601079	+	0.1262618946981863	cusCFBA
252	pheP	601152	602631	+	1.1103669860309446	pheP
253	nfsB	603994	604675	-	9.44112983109015	nfsB
254	hokE	606954	607210	+	0.045962883297713863	hokE
255	fepA-entD	608682	611889	-	0.27516492764999195	fepA-entD
256	fes-ybdZ-entF-fepE	611910	618609	+	0.2566572262249718	fes-ybdZ-entF-fepE
257	fepDGC	618607	621414	-	0.2860772642923405	fepDGC
258	fepDGC	618607	621456	-	0.2818628675542562	fepDGC
259	entS	621476	622772	+	0.2048179303915095	entS
260	entS	621481	622772	+	0.2056099564177721	entS
261	fepB	622777	623949	-	0.442044259207339	fepB
262	entCEBAH	624054	628935	+	0.4078811877331023	entCEBAH
263	entH	628515	628935	+	0.9010088192308082	entH
264	cstA	629078	631313	+	1.5028159898743871	cstA
265	cstA	629087	631313	+	1.5088866110184036	cstA
266	cstA	629096	631313	+	1.5150064755966668	cstA
267	ybdN	634572	635908	-	0.07389419759692538	ybdN
268	ahpCF	637916	640540	+	46.78014344204135	ahpCF
269	dsbG	637050	638022	-	2.872695525339235	dsbG
270	ahpCF	638144	640540	+	50.92740691444465	ahpCF
271	ahpF	638225	640540	+	44.41076544697424	ahpF
272	uspG	640662	641125	-	6.1306866887499405	uspG
273	rna	643420	644256	-	5.155012428550738	rna
274	citCDEFXG	645854	651174	-	0.03901225490349859	citCDEFXG
275	dpiBA	651207	653764	+	0.2651541966247602	dpiBA
276	citCDEFXG	645854	651261	-	0.03838476993832862	citCDEFXG
277	dpiBA	651395	653764	+	0.286178654223012	dpiBA
278	dcuC	655408	656504	-	0.5596040802436234	dcuC
279	pagP	658070	658660	+	0.40456826240953697	pagP
280	cspE	658691	659044	+	142.3354222791453	cspE
281	cspE	658794	659044	+	200.3152442104474	cspE
282	lipA	660795	661844	-	11.199775123561247	lipA
283	ybeD-lipB	663181	664249	-	4.339997558565549	ybeD-lipB
284	rsfS-rlmH-mrdAB-rlpA	665646	670615	-	3.8727547794997665	rsfS-rlmH-mrdAB-rlpA
285	ybeL	676537	677043	+	4.984718475437905	ybeL
286	gltI-sroC-gltJKL	686074	689439	-	3.1899970988895663	gltI-sroC-gltJKL
287	ybeZYX-lnt	690887	695012	-	8.391414499302881	ybeZYX-lnt
288	metT-leuW-glnUW-metU-glnVX	697936	698706	-	15.805741024607697	metT-leuW-glnUW-metU-glnVX
289	asnB	699057	700765	-	3.1281191140307296	asnB
290	umpH	701118	701895	-	2.7879023869847868	umpH
291	nagC	701918	703408	-	2.2979290820373213	nagC
292	nagC	701918	703551	-	2.402816766888266	nagC
293	nagA	703147	704718	-	5.109219158170653	nagA
294	nagBAC-umpH	701118	705251	-	4.263375072827002	nagBAC-umpH
295	nagE	705384	707508	+	10.270358047148575	nagE
296	glnS	707543	709521	+	10.000984463385237	glnS
297	glnS	707604	709521	+	10.318889649558505	glnS
298	chiPQ	709780	711659	+	0.7660956447555302	chiPQ
299	fur	711662	712259	-	29.437176526834065	fur
300	fur	711706	712259	-	31.759427608644078	fur
301	fur	711662	712266	-	29.09714313460991	fur
302	fur	711706	712266	-	31.363847549461678	fur
303	uof-fur	711662	712372	-	25.182219223934016	uof-fur
304	uof-fur	711706	712372	-	26.8313677704564	uof-fur
305	fldA-uof-fur	711662	713064	-	17.82990946249185	fldA-uof-fur
306	fldA-uof-fur	711706	713064	-	18.402063579825306	fldA-uof-fur
307	ybfE	713149	713482	-	4.129392691896716	ybfE
308	seqA-pgm	714486	716785	+	11.612780713552189	seqA-pgm
309	ybfHG	717491	718184	-	0.06849841563942351	ybfHG
310	kdpFABC	725951	730392	-	0.02594788605192294	kdpFABC
311	ybgA-phr	740464	742468	+	0.28728067392953577	ybgA-phr
312	ybgA-phr	740524	742468	+	0.2961382486652872	ybgA-phr
313	phr	740965	742468	+	0.26665126576538767	phr
314	ybgI-pxpBCA-nei	744163	748269	+	1.9010036950853182	ybgI-pxpBCA-nei
315	ybgI-pxpBCA-nei	744342	748269	+	1.9860798207716985	ybgI-pxpBCA-nei
316	gltA	754670	756213	-	68.96144091752831	gltA
317	gltA	754670	756310	-	64.93482863840899	gltA
318	sdhCDAB-sucABCD	756502	766592	+	25.102230589844662	sdhCDAB-sucABCD
319	sdhDAB	756948	759993	+	24.925760232258593	sdhDAB
320	sucABCD	760130	766592	+	23.689588911441906	sucABCD
321	sucAB	760130	764509	+	21.57806223254815	sucAB
322	mngAB	767355	772154	+	0.1439087946202973	mngAB
323	mngR	766697	767469	-	1.5759469068175644	mngR
324	cydAB	772714	775724	+	15.376849850869986	cydAB
325	cydAB	772746	775724	+	15.538049003434812	cydAB
326	cydAB	772757	775724	+	15.595616716145416	cydAB
327	cydAB	772828	775724	+	15.971092746689896	cydAB
328	cydAB	772912	775724	+	16.371087799030207	cydAB
329	lysT-valT-lysW	782058	782461	+	31.689878380468798	lysT-valT-lysW
330	nadA-pnuC	783605	785428	+	0.6347765876007053	nadA-pnuC
331	aroG	787135	788364	+	9.665207995785568	aroG
332	gpmA	788387	789175	-	48.26793349842558	gpmA
333	gpmA	788387	789213	-	46.06000365622548	gpmA
334	galK	790375	792006	-	1.4866346605812908	galK
335	galETKM	789307	793624	-	1.8718214075219217	galETKM
336	galE	792367	793624	-	0.3538613291068957	galE
337	galE	791856	793624	-	0.41087062542199887	galE
338	galET	791384	793624	-	0.42909927036100237	galET
339	galET	791496	793624	-	0.4197134516959702	galET
340	galETK	790159	793624	-	1.257160890031904	galETK
341	galETKM	789341	793629	-	1.8799282056285407	galETKM
342	galE	792583	793629	-	0.4009197481989653	galE
343	galET	791527	793629	-	0.4241249917590166	galET
344	galETK	790375	793629	-	0.9476064279926129	galETK
345	galETKM	789341	793720	-	1.8490448353550262	galETKM
346	ybhC	807542	808864	-	3.576891754085695	ybhC
347	bioA	809512	810835	-	0.5006399528507197	bioA
348	bioBFCD	810846	814490	+	0.19380700366984174	bioBFCD
349	uvrB	814696	817090	+	1.7080482458959434	uvrB
350	uvrB	815006	817090	+	1.950333603167499	uvrB
351	uvrB	815037	817090	+	1.9797546940182011	uvrB
352	moaABCDE	818371	821290	+	1.1190217791290094	moaABCDE
353	moaABCDE	818458	821290	+	1.1512516066469134	moaABCDE
354	moaBCDE	819521	821290	+	1.0870868212255473	moaBCDE
355	ybhL	821402	822131	+	5.064575844370791	ybhL
356	ybhQ	826145	826583	+	6.642679850705513	ybhQ
357	cecR-ybhGFSR	826546	832212	-	0.5052376998314835	cecR-ybhGFSR
358	dinG-ybiB	834617	837753	+	1.3233997306628673	dinG-ybiB
359	ybiI	839734	840027	-	0.22380997573731917	ybiI
360	fiu	840793	843191	-	0.6313598329549973	fiu
361	mcbA	843340	843696	-	0.28786921972130397	mcbA
362	glnQ	847285	848174	-	2.529264327630704	glnQ
363	glnHPQ	847285	849590	-	3.8932791544160117	glnHPQ
364	glnHPQ	847285	849741	-	3.6590016828456906	glnHPQ
365	dps	849952	850493	-	22.48022149225083	dps
366	ompX	851753	852552	+	129.2886525331294	ompX
367	ompX	851963	852552	+	167.50568165464165	ompX
368	rybA-mntS	854269	854607	-	5.1744653462711385	rybA-mntS
369	mntR-ybiR	854642	856308	+	2.0026445233442307	mntR-ybiR
370	ldtB	856368	857329	-	5.74931746406786	ldtB
371	ybiT	857491	859098	+	7.183287796773904	ybiT
372	moeAB	865924	867937	-	0.8367213143682705	moeAB
373	iaaA-gsiABCD	868081	874344	+	0.6684658463881382	iaaA-gsiABCD
374	rimO	878254	879613	-	3.1463774552870336	rimO
375	gstB	881398	882062	-	3.4600170219916624	gstB
376	dacC	882197	883472	+	3.3107614547057636	dacC
377	ybjG	884336	885051	-	2.6631800970988206	ybjG
378	mdfA	885113	886481	+	0.753725692297757	mdfA
379	mdfA	885193	886481	+	0.8004683708898659	mdfA
380	rybB	889521	889600	-	1.4932915396896391	rybB
381	grxA	892040	892319	-	1.3465176363954372	grxA
382	ybjC-nfsA-rimK-ybjN	892436	894976	+	6.614701659809231	ybjC-nfsA-rimK-ybjN
383	rimK-ybjN	893420	894976	+	5.302012495860108	rimK-ybjN
384	potFGHI	895178	899472	+	0.1194571734315389	potFGHI
385	potFGHI	895280	899472	+	0.1180122022877778	potFGHI
386	artJ	901192	902169	-	0.49235147128770324	artJ
387	artPIQM	902239	905312	-	2.435686536113138	artPIQM
388	artPIQM	902239	905358	-	2.3997872792527706	artPIQM
389	artPIQM	902239	905379	-	2.3837479626186817	artPIQM
390	artPIQM	902239	905386	-	2.378449062733534	artPIQM
391	ybjQ-amiD	906061	907286	+	1.4792428734674825	ybjQ-amiD
392	ybjP	905496	906066	-	3.0870586415655317	ybjP
393	ltaE-ybjT	908396	910863	-	0.7242151858357122	ltaE-ybjT
394	poxB	910875	912619	-	0.7597155789366368	poxB
395	hcp-hcr	912726	915388	-	0.17188398756232923	hcp-hcr
396	hcp-hcr-poxB	910875	915388	-	0.39520760657572823	hcp-hcr-poxB
397	hcp-hcr	912726	915672	-	0.17610825589683135	hcp-hcr
398	lysO	915502	916438	-	0.4848723958095012	lysO
399	ybjX	919672	920646	-	8.486546284426636	ybjX
400	cspD	923910	924219	-	13.39756585617129	cspD
401	clpA	924624	927083	+	14.732473448518322	clpA
402	clpA	924636	927083	+	14.782231312752652	clpA
403	clpA	924754	927083	+	14.469484669963611	clpA
404	serW	927387	927549	-	0.49267255502374124	serW
405	serW	927387	927586	-	0.6724476012293062	serW
406	infA	927706	928022	-	48.17150080634148	infA
407	infA	927706	928228	-	29.826848379396782	infA
408	cydDC	929018	932574	-	1.0725090874246124	cydDC
409	trxB	932563	933621	-	13.57972794584173	trxB
410	lrp	933872	934632	+	25.03904767614881	lrp
411	ftsK	934473	938756	+	3.59477377443295	ftsK
412	ftsK	934682	938756	+	3.3668312131440246	ftsK
413	lolA-rarA	938872	940880	+	3.325609366042041	lolA-rarA
414	serS	940909	942308	+	18.624362110116724	serS
415	dmsABC	942367	946439	+	0.37851648089471274	dmsABC
416	dmsABC	942422	946439	+	0.3836964775230305	dmsABC
417	pflA	951845	952697	-	3.23122558468498	pflA
418	pflB	952751	955122	-	57.5735553989007	pflB
419	pflB	952751	955184	-	56.36338410007581	pflB
420	pflB	952751	955284	-	54.6522616735435	pflB
421	pflB	952751	955394	-	53.14858469130524	pflB
422	pflB	952751	955468	-	51.78066195150124	pflB
423	focA-pflB	952751	956036	-	44.335708852606444	focA-pflB
424	focA-pflB	952751	956046	-	44.203060528394246	focA-pflB
425	focA-pflB	952751	956357	-	40.39616102716371	focA-pflB
426	serC	959123	960284	+	6.677435988252078	serC
427	serC	959139	960284	+	6.770582436213746	serC
428	serC-aroA	959139	961638	+	5.501006744100571	serC-aroA
429	cmk-rpsA	962709	965211	+	241.5533868911241	cmk-rpsA
430	rpsA-ihfB	963261	965655	+	256.0765148624443	rpsA-ihfB
431	rpsA-ihfB	963403	965655	+	271.71683763631125	rpsA-ihfB
432	ihfB	965293	965655	+	33.98842876163626	ihfB
433	ycaR-kdsB	972186	973141	+	4.9032867596893475	ycaR-kdsB
434	ycbJ	973216	974188	+	0.8891496014184721	ycbJ
435	cmoM-mukFEB	974948	982329	+	7.577960933521083	cmoM-mukFEB
436	ldtD	982475	984437	+	1.342695614245316	ldtD
437	ycbK-gloC	984567	985840	+	7.200682704272733	ycbK-gloC
438	aspC	986063	987286	-	12.004470490577598	aspC
